철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,7호선,중화,1 ,(F1-B2)1번 출입구,15 ,1000
서울교통공사,7호선,천왕,,(B1-B3) 승강장,15 ,1000
서울교통공사,7호선,천왕,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,천왕,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,7호선,천왕,,(B1-B2) 승강장,15 ,1000
서울교통공사,7호선,철산,,(B1-B2) 승강장,15 ,1000
서울교통공사,7호선,철산,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,7호선,철산,2 ,(F1-B1)2번 출입구,24 ,1600
서울교통공사,7호선,철산,,(B1-B2) 승강장,15 ,1000
서울교통공사,7호선,청담,,(B1-B2) 승강장,15 ,1000
서울교통공사,7호선,청담,1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,7호선,총신대입구(이수),4 ,(F1-B1)4번 출입구,24 ,1600
서울교통공사,7호선,총신대입구(이수),5 ,(F1-B3)5번 출입구,15 ,1000
서울교통공사,7호선,총신대입구(이수),10 ,(F1-B3)10번 출입구,15 ,1000
서울교통공사,7호선,태릉입구,,(B1-B4) 승강장,15 ,1000
서울교통공사,7호선,태릉입구,2 ,(F1-B4) 승강장,15 ,1000
서울교통공사,7호선,하계,,(B1-B3)승강장,15 ,1000
서울교통공사,7호선,하계,1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,7호선,하계,6 ,(F1-B1)6번 출입구,15 ,1000
서울교통공사,7호선,학동,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,학동,,(B2-B3) 승강장,15 ,1000
서울교통공사,7호선,학동,3 ,(F1-B2)3번 출입구,15 ,1000
서울교통공사,8호선,가락시장,,(B1-B2) 승강장,15 ,1000
서울교통공사,8호선,가락시장,,(B1-B2) 승강장,15 ,1000
서울교통공사,8호선,가락시장,,(B2-B3) 승강장,15 ,1000
서울교통공사,8호선,가락시장,,(B2-B3) 승강장,15 ,1000
서울교통공사,8호선,가락시장,1 ,(F1-B2)1/2번 출입구,15 ,1000
서울교통공사,8호선,가락시장,3 ,(F1-B1)3/4번 출입구,15 ,1000
서울교통공사,8호선,강동구청,,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,강동구청,,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,강동구청,4 ,(F1-B2)4번 출입구,15 ,1000
서울교통공사,8호선,남위례,1 ,(F1-F2),21 ,1600
서울교통공사,8호선,남위례,5 ,(F1-F4),21 ,1600
서울교통공사,8호선,남위례,,(F1-F4),21 ,1600
서울교통공사,8호선,남한산성입구(성남법원·검찰청),,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,남한산성입구(성남법원·검찰청),,(F1-B3) 승강장,15 ,1000
서울교통공사,8호선,단대오거리,,(B1-B3) 승강장,15 ,1000
서울교통공사,8호선,단대오거리,,(B1-B3) 승강장,15 ,1000
서울교통공사,8호선,단대오거리,4 ,(F1-B1)4번 출입구,15 ,1000
서울교통공사,8호선,모란,,(B1-B3) 승강장,15 ,1000
서울교통공사,8호선,모란,,(B2-B3) 승강장,15 ,1000
서울교통공사,8호선,모란,11 ,(F1-B1)11번 출입구,15 ,1000
서울교통공사,8호선,몽촌토성(평화의문),,(B2-B3) 승강장,15 ,1000
서울교통공사,8호선,몽촌토성(평화의문),,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,몽촌토성(평화의문),,(B1-B2)지하2층 대합실,11 ,750
서울교통공사,8호선,몽촌토성(평화의문),4 ,(F1-B1)4번 출입구,15 ,1000
서울교통공사,8호선,문정,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,문정,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,문정,2 ,(F1-B1)2번 출입구,15 ,1000
서울교통공사,8호선,복정,,(B1-B3)승강장,15 ,1000
서울교통공사,8호선,산성,,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,산성,,(B2-B3) 승강장,11 ,750
서울교통공사,8호선,산성,,(B1-B2)대합실,11 ,750
서울교통공사,8호선,산성,3 ,(F1-B1)3번 출입구,11 ,750
서울교통공사,8호선,석촌,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,석촌,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,석촌,1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,8호선,송파,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,송파,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,송파,1 ,(F1-B1)1번 출입구,11 ,750
서울교통공사,8호선,송파,4 ,(F1-B1),15 ,1150
서울교통공사,8호선,수진,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,수진,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,수진,3 ,(B1-F1)3번 출입구,24 ,1600
서울교통공사,8호선,신흥,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,신흥,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,암사,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,암사,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,암사,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,8호선,잠실(송파구청),,(B1-B3) 승강장,15 ,1000
서울교통공사,8호선,잠실(송파구청),,(B1-B3) 승강장,15 ,1000
서울교통공사,8호선,잠실(송파구청),9 ,(F1-B1)9번 출입구,15 ,1000
서울교통공사,8호선,잠실(송파구청),10 ,(B2-F1)10번 출입구,17 ,1150
서울교통공사,8호선,장지,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,장지,,(B1-B2) 승강장,11 ,750
서울교통공사,8호선,장지,1 ,(F1-B1)1번 출입구,15 ,1000
서울교통공사,8호선,장지,3 ,(F1-B1)3번 출입구,15 ,1000
서울교통공사,8호선,천호(풍납토성),,(B1-B2) 승강장,15 ,1000
서울교통공사,8호선,천호(풍납토성),,(B1-B2) 승강장,15 ,1000
